Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.02225	-0.36093	-0.02225	-0.36093	500.00000	5000.00000	245.04926	0.00000	1.00000	478.21033	24236.12305	1	1	-1	1	0.00000	0.00000
1	-0.02115	-0.35448	-0.02115	-0.35448	500.00000	5000.00000	244.63838	0.00000	1.00000	451.71777	11551.66797	1	1	-1	1	0.00000	0.00000
1	-0.02015	0.05889	-0.02015	0.05889	500.00000	5000.00000	250.05899	0.00000	1.00000	459.70517	12870.01758	1	1	-1	1	0.00000	0.00000
1	-0.01094	-0.38341	-0.01094	-0.38341	500.00000	5000.00000	249.35280	0.00000	1.00000	446.64206	12543.83984	1	1	-1	1	0.00000	0.00000
1	-0.01021	-0.37765	-0.01021	-0.37765	500.00000	5000.00000	248.24214	0.00000	1.00000	442.19363	10937.09863	1	1	-1	1	0.00000	0.00000
1	-0.01015	-0.33193	-0.01015	-0.33193	500.00000	5000.00000	243.31158	0.00000	1.00000	454.71750	18572.97656	1	1	-1	1	0.00000	0.00000
1	-0.00683	-0.32809	-0.00683	-0.32809	500.00000	5000.00000	255.31056	0.00000	1.00000	429.70313	9172.08691	1	1	-1	1	0.00000	0.00000
1	-0.00549	0.12258	-0.00549	0.12258	500.00000	5000.00000	238.18201	0.00000	1.00000	413.26447	1711.58057	1	1	-1	1	0.00000	0.00000
1	-0.00530	-0.38625	-0.00530	-0.38625	500.00000	5000.00000	249.20300	0.00000	1.00000	413.99475	8573.73145	1	1	-1	1	0.00000	0.00000
1	-0.00525	0.01914	-0.00525	0.01914	500.00000	5000.00000	247.95537	0.00000	1.00000	406.18262	9240.05078	1	1	-1	1	0.00000	0.00000
1	-0.00372	-0.35032	-0.00372	-0.35032	500.00000	5000.00000	249.51329	0.00000	1.00000	455.46957	18126.59180	1	1	-1	1	0.00000	0.00000
1	-0.00007	0.09055	-0.00007	0.09055	500.00000	5000.00000	252.00854	0.00000	1.00000	460.79013	13423.42188	1	1	-1	1	0.00000	0.00000
1	0.00557	0.04851	0.00557	0.04851	500.00000	5000.00000	247.14433	0.00000	1.00000	444.83499	15242.97852	1	1	-1	1	0.00000	0.00000
1	0.00806	-0.00102	0.00806	-0.00102	500.00000	5000.00000	244.45006	0.00000	1.00000	444.19080	11897.31445	1	1	-1	1	0.00000	0.00000
1	0.00874	0.39637	0.00874	0.39637	500.00000	5000.00000	256.66306	0.00000	1.00000	454.27612	16472.13867	1	1	-1	1	0.00000	0.00000
1	0.01105	0.35538	0.01105	0.35538	500.00000	5000.00000	253.21977	0.00000	1.00000	420.42120	11319.91602	1	1	-1	1	0.00000	0.00000
1	0.01530	0.03414	0.01530	0.03414	500.00000	5000.00000	250.69885	0.00000	1.00000	462.00085	17731.85938	1	1	-1	1	0.00000	0.00000
1	0.01806	-0.37116	0.01806	-0.37116	500.00000	5000.00000	249.54755	0.00000	1.00000	425.49619	9659.76074	1	1	-1	1	0.00000	0.00000
1	0.02212	0.42229	0.02212	0.42229	500.00000	5000.00000	264.38416	0.00000	1.00000	405.73007	8260.69629	1	1	-1	1	0.00000	0.00000
1	0.02344	0.07999	0.02344	0.07999	500.00000	5000.00000	262.98889	0.00000	1.00000	461.47458	18358.13867	1	1	-1	1	0.00000	0.00000
1	0.02715	-0.37782	0.02715	-0.37782	500.00000	5000.00000	248.81352	0.00000	1.00000	440.30524	13995.09668	1	1	-1	1	0.00000	0.00000
1	0.02743	0.04886	0.02743	0.04886	500.00000	5000.00000	247.12721	0.00000	1.00000	476.37109	25720.91016	1	1	-1	1	0.00000	0.00000
1	0.02766	-0.34138	0.02766	-0.34138	500.00000	5000.00000	252.54996	0.00000	1.00000	444.46579	11708.63770	1	1	-1	1	0.00000	0.00000
1	0.02779	0.39961	0.02779	0.39961	500.00000	5000.00000	254.93607	0.00000	1.00000	411.97311	8906.50684	1	1	-1	1	0.00000	0.00000
1	0.02792	-0.32803	0.02792	-0.32803	500.00000	5000.00000	246.49805	0.00000	1.00000	421.64984	7991.93164	1	1	-1	1	0.00000	0.00000
1	0.02972	-0.34026	0.02972	-0.34026	500.00000	5000.00000	255.98251	0.00000	1.00000	438.08231	12239.40137	1	1	-1	1	0.00000	0.00000
1	0.03405	-0.34769	0.03405	-0.34769	500.00000	5000.00000	281.33511	0.00000	1.00000	398.92816	7902.33545	1	1	-1	1	0.00000	0.00000
1	0.03442	0.03898	0.03442	0.03898	500.00000	5000.00000	248.59952	0.00000	1.00000	453.07175	18491.88281	1	1	-1	1	0.00000	0.00000
1	0.04334	0.07955	0.04334	0.07955	500.00000	5000.00000	257.93420	0.00000	1.00000	479.50452	21531.71875	1	1	-1	1	0.00000	0.00000
1	0.04421	0.02192	0.04421	0.02192	500.00000	5000.00000	247.42038	0.00000	1.00000	514.74799	29888.41797	1	1	-1	1	0.00000	0.00000
1	0.05791	0.35041	0.05791	0.35041	500.00000	5000.00000	250.55333	0.00000	1.00000	409.43332	5744.03320	1	1	-1	1	0.00000	0.00000
1	0.06016	0.34900	0.06016	0.34900	500.00000	5000.00000	251.58696	0.00000	1.00000	419.07132	9033.86230	1	1	-1	1	0.00000	0.00000
1	0.06305	-0.32202	0.06305	-0.32202	500.00000	5000.00000	249.80220	0.00000	1.00000	470.66626	17258.67188	1	1	-1	1	0.00000	0.00000
1	0.06418	0.36598	0.06418	0.36598	500.00000	5000.00000	249.23083	0.00000	1.00000	441.07828	13584.67871	1	1	-1	1	0.00000	0.00000
1	0.06512	0.35256	0.06512	0.35256	500.00000	5000.00000	254.73917	0.00000	1.00000	425.58926	11972.29199	1	1	-1	1	0.00000	0.00000
1	0.07002	0.40630	0.07002	0.40630	500.00000	5000.00000	257.20447	0.00000	1.00000	441.32074	16126.64355	1	1	-1	1	0.00000	0.00000
1	0.08250	-0.35556	0.08250	-0.35556	500.00000	5000.00000	255.58022	0.00000	1.00000	413.12640	6108.05957	1	1	-1	1	0.00000	0.00000
1	0.08924	0.36447	0.08924	0.36447	500.00000	5000.00000	253.50226	0.00000	1.00000	469.88376	24872.33203	1	1	-1	1	0.00000	0.00000
1	0.09283	0.38420	0.09283	0.38420	500.00000	5000.00000	256.85992	0.00000	1.00000	446.53168	15637.88965	1	1	-1	1	0.00000	0.00000
1	0.09290	0.36822	0.09290	0.36822	500.00000	5000.00000	240.26422	0.00000	1.00000	431.69101	6327.04980	1	1	-1	1	0.00000	0.00000
1	0.09364	0.37019	0.09364	0.37019	500.00000	5000.00000	251.57626	0.00000	1.00000	434.52127	21510.67969	1	1	-1	1	0.00000	0.00000
1	0.09371	0.01314	0.09371	0.01314	500.00000	5000.00000	249.54541	0.00000	1.00000	446.07166	11665.10645	1	1	-1	1	0.00000	0.00000
1	0.10260	0.41006	0.10260	0.41006	500.00000	5000.00000	253.41881	0.00000	1.00000	443.61545	11831.55762	1	1	-1	1	0.00000	0.00000
1	0.11912	0.31840	0.11912	0.31840	500.00000	5000.00000	252.87311	0.00000	1.00000	411.46619	6475.85938	1	1	-1	1	0.00000	0.00000
1	0.12547	0.37350	0.12547	0.37350	500.00000	5000.00000	247.54878	0.00000	1.00000	418.60162	12301.75488	1	1	-1	1	0.00000	0.00000
1	0.14134	-0.29406	0.14134	-0.29406	500.00000	5000.00000	262.35757	0.00000	1.00000	464.11005	13934.49121	1	1	-1	1	0.00000	0.00000
1	0.15224	0.12810	0.15224	0.12810	500.00000	5000.00000	251.83092	0.00000	1.00000	457.13464	11905.05762	1	1	-1	1	0.00000	0.00000
1	0.15438	0.07450	0.15438	0.07450	500.00000	5000.00000	255.50743	0.00000	1.00000	466.12732	15496.09570	1	1	-1	1	0.00000	0.00000
1	0.15542	0.41179	0.15542	0.41179	500.00000	5000.00000	252.88165	0.00000	1.00000	420.99759	12704.72266	1	1	-1	1	0.00000	0.00000
1	0.16673	0.06233	0.16673	0.06233	500.00000	5000.00000	251.32159	0.00000	1.00000	409.87024	3065.93311	1	1	-1	1	0.00000	0.00000
1	0.17839	-0.34063	0.17839	-0.34063	500.00000	5000.00000	244.43294	0.00000	1.00000	442.43167	16375.21973	1	1	-1	1	0.00000	0.00000
1	0.18334	-0.38112	0.18334	-0.38112	500.00000	5000.00000	230.55290	0.00000	1.00000	407.85672	2209.11597	1	1	-1	1	0.00000	0.00000
1	0.19483	0.38128	0.19483	0.38128	500.00000	5000.00000	251.74959	0.00000	1.00000	458.84317	19232.05273	1	1	-1	1	0.00000	0.00000
1	0.19681	-0.33614	0.19681	-0.33614	500.00000	5000.00000	249.12167	0.00000	1.00000	459.17249	11574.70020	1	1	-1	1	0.00000	0.00000
1	0.20573	-0.39057	0.20573	-0.39057	500.00000	5000.00000	249.11098	0.00000	1.00000	490.10434	27064.75586	1	1	-1	1	0.00000	0.00000
1	0.21444	0.08004	0.21444	0.08004	500.00000	5000.00000	252.41086	0.00000	1.00000	448.40240	12766.43262	1	1	-1	1	0.00000	0.00000
1	0.21757	0.17430	0.21757	0.17430	500.00000	5000.00000	247.71355	0.00000	1.00000	434.91885	10846.13184	1	1	-1	1	0.00000	0.00000
